Index,Company,Account Type,Twitter Handle,Account Creation Date,Account Followers,Account Following,Account Likes,Account Public Lists,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
0,CATERPILLAR INC,Corporate,@CaterpillarInc,2008-06-12 22:00:06+00:00,147788,221,1448,1458,10159,936,2253,147,55519,183188,6381,2710
0,BANK OF NEW YORK MELLON CORP,Corporate,@BNYMellon,2010-07-16 22:33:40+00:00,38754,452,142,721,6390,346,113,44,17156,53767,3728,1068
0,PNC FINANCIAL SERVICES GROUP INC,Corporate,@PNCBank,2009-05-14 18:54:33+00:00,39089,3293,2263,466,4780,148,6122,5,11868,59395,9256,2179
0,DOMINION RESOURCES INC,Corporate,@DominionEnergy,2009-10-15 16:21:15+00:00,64950,3117,9486,1004,8831,1402,29094,161,26728,39390,6952,2373
0,MCKESSON CORP,Corporate,@McKesson,2010-05-27 20:50:35+00:00,22241,278,1239,533,5643,745,63,43,6694,10269,1652,634
0,AETNA INC,Corporate,@Aetna,2008-09-08 18:20:24+00:00,53687,135,956,659,4618,920,10685,31,26324,81633,6615,1685
0,REYNOLDS AMERICAN INC,Corporate,@RAI_News,2012-02-07 14:25:05+00:00,4111,602,505,65,899,177,10,90,1100,3812,195,220
0,FEDEX CORP,Corporate,@FedEx,2010-04-19 18:50:24+00:00,324834,16677,16599,1571,9842,2072,9921,120,161640,439790,77923,19609
0,NETFLIX INC,Corporate,@netflix,2008-10-03 04:16:17+00:00,21231292,2194,14993,20637,305340,14236,21273,707,12386727,65311626,1554283,3798503
0,GENERAL DYNAMICS CORP,Corporate,@GDMS,2012-09-06 20:55:38+00:00,39075,1944,6323,529,2932,605,173,88,9083,21669,1398,584
0,PAYPAL HOLDINGS INC,Corporate,@PayPal,2009-04-09 16:46:17+00:00,930828,938,10905,4226,8341,1280,2376,83,100954,297827,85483,13687
0,RAYTHEON,Corporate,@RaytheonTech,2008-08-27 21:32:47+00:00,196980,280,4679,2599,20134,1905,755,222,149556,293779,20663,8991
0,TARGET CORP,Corporate,@Target,2009-11-11 02:20:36+00:00,2159260,2571,17671,7633,334281,822,97612,136,1170729,4945764,268511,132826
0,AUTOMATIC DATA PROCESSING INC,Corporate,@ADP,2009-02-03 18:52:11+00:00,49000,2746,14068,1001,13745,2711,13365,130,55877,56288,4644,2479
0,MORGAN STANLEY,Corporate,@MorganStanley,2011-12-01 22:24:52+00:00,672047,224,9,4506,12468,778,125,23,167279,528144,53873,16729
0,NORTHROP GRUMMAN CORP,Corporate,@northropgrumman,2008-08-13 19:13:06+00:00,273694,658,3888,2921,9000,2878,779,307,70505,230256,10834,5919
0,HALLIBURTON,Corporate,@Halliburton,2011-04-26 15:51:09+00:00,62636,104,21,573,2253,133,35,26,7644,14466,1229,388
0,GENERAL MILLS INC,Corporate,@GeneralMills,2011-04-11 15:26:07+00:00,104900,60,7736,1024,7405,563,14509,68,25459,45194,7814,4913
0,PHILLIPS 66,Corporate,@Phillips66Co,2011-11-04 20:53:22+00:00,10497,131,949,266,1232,203,96,90,3006,7477,325,233
0,CAPITAL ONE FINANCIAL CORP,Corporate,@CapitalOne,2011-08-29 20:50:38+00:00,214932,313,23329,1025,53189,1949,76228,164,188054,523051,74735,13395
0,COGNIZANT TECHNOLOGY SOLUTIONS COR,Corporate,@Cognizant,2009-08-28 20:31:48+00:00,745950,2855,5054,2998,43218,3013,1091,52,112184,415277,10745,3482
0,PUBLIC STORAGE REIT,Corporate,@PublicStorage,2009-03-19 19:07:28+00:00,4348,509,1222,208,8943,5316,6583,39,2394,3796,1253,203
0,STRYKER CORP,Corporate,@StrykerEndo,2012-02-24 21:45:26+00:00,5396,773,854,62,1042,331,31,13,2168,5126,114,102
0,BECTON DICKINSON,Corporate,@BDandCo,2009-11-24 23:10:59+00:00,13586,710,1243,262,4235,565,169,123,7704,28689,809,806
0,KROGER,Corporate,@kroger,2009-04-29 13:44:43+00:00,165730,295,63365,1515,6018,1401,120959,92,83588,189087,33622,6745
